CustomerID,Age,Gender,TenureMonths,ContractType,InternetService,TechSupport,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,SupportTickets,SatisfactionScore,Churn
CUST-1063,37,Male,44,Month-to-month,DSL,Yes,Credit card,No,73.9,3224.62,0,2,1
CUST-1064,45,Female,2,Month-to-month,Fiber optic,No,Electronic check,Yes,94.92,141.02,2,4,1
CUST-1065,64,Female,35,One year,No,No internet service,Electronic check,No,27.59,983.58,1,3,0
CUST-1066,24,Female,30,Two year,No,No internet service,Bank transfer,Yes,26.74,778.89,2,5,0
CUST-1067,61,Male,8,Two year,Fiber optic,No,Electronic check,Yes,110.28,905.74,2,3,1
CUST-1068,25,Female,22,Month-to-month,DSL,No,Electronic check,Yes,56.56,1255.41,1,5,1
CUST-1069,64,Male,44,Two year,Fiber optic,Yes,Electronic check,No,96.71,4249.15,1,3,0
CUST-1070,52,Male,58,One year,No,No internet service,Electronic check,Yes,23.94,1397.77,1,5,0
CUST-1071,31,Male,36,One year,No,No internet service,Bank transfer,No,21.29,772.82,1,5,0
CUST-1072,34,Female,69,Two year,Fiber optic,No,Electronic check,No,119.24,8211.03,0,3,0
CUST-1073,53,Male,31,Month-to-month,No,No internet service,Mailed check,Yes,21.27,659.15,3,5,1
CUST-1074,67,Female,47,Month-to-month,DSL,Yes,Bank transfer,Yes,72.75,3404.55,0,4,0
CUST-1075,57,Female,55,Two year,No,No internet service,Mailed check,No,22.91,1269.86,2,2,1
CUST-1076,21,Male,62,Month-to-month,DSL,Yes,Electronic check,Yes,75.79,4688.25,1,4,0
CUST-1077,19,Female,30,Two year,No,No internet service,Bank transfer,No,21.03,629.45,5,1,1
CUST-1078,23,Male,55,Two year,Fiber optic,No,Electronic check,Yes,100.06,5501.2,1,4,0
CUST-1079,71,Male,16,Month-to-month,Fiber optic,No,Bank transfer,Yes,94.61,1515.58,2,2,1
CUST-1080,59,Male,12,Two year,Fiber optic,Yes,Credit card,No,124.07,1513.78,1,1,0
CUST-1081,21,Male,17,Month-to-month,No,No internet service,Mailed check,Yes,20.32,341.83,1,3,0
CUST-1082,71,Female,16,Month-to-month,No,No internet service,Mailed check,Yes,27.31,455.23,1,3,1
CUST-1083,46,Male,12,One year,No,No internet service,Mailed check,Yes,26.66,327.12,1,5,0
CUST-1084,35,Female,8,Two year,No,No internet service,Mailed check,Yes,22.38,200.32,1,5,0
CUST-1085,43,Female,2,Month-to-month,Fiber optic,No,Credit card,Yes,230.5,14500.0,9,3,1
CUST-1086,61,Female,16,Month-to-month,Fiber optic,No,Credit card,No,86.09,1387.88,1,1,1
CUST-1087,51,Female,30,One year,Fiber optic,No,Electronic check,Yes,118.84,3564.31,1,4,0
CUST-1088,27,Female,23,One year,Fiber optic,No,Bank transfer,Yes,103.43,2334.05,2,3,0
CUST-1089,53,Male,5,One year,Fiber optic,No,Credit card,No,95.61,461.7,0,3,0
CUST-1090,31,Male,65,Month-to-month,DSL,No,Credit card,Yes,62.25,4054.99,2,3,0
CUST-1091,48,Female,30,Month-to-month,Fiber optic,Yes,Mailed check,Yes,95.32,2867.34,2,3,1
CUST-1092,65,Female,21,Month-to-month,Fiber optic,Yes,Mailed check,No,127.63,2660.81,1,3,1
CUST-1093,32,Male,70,Two year,Fiber optic,No,Electronic check,No,86.38,6049.91,1,4,0
CUST-1094,25,Male,22,Month-to-month,Fiber optic,No,Credit card,Yes,107.92,2381.79,3,3,1
CUST-1095,31,Male,72,Month-to-month,No,No internet service,Electronic check,No,23.54,1694.36,3,5,0
CUST-1096,40,Female,32,Two year,DSL,No,Bank transfer,Yes,73.98,2378.29,1,3,0
CUST-1097,74,Male,33,Month-to-month,No,No internet service,Electronic check,No,21.97,733.9,2,2,1
CUST-1098,57,Male,16,Two year,Fiber optic,Yes,Electronic check,Yes,111.62,1785.39,0,5,0
CUST-1099,38,Male,38,One year,Fiber optic,Yes,Mailed check,Yes,109.88,4167.78,3,3,0
CUST-1100,33,Male,14,Two year,No,No internet service,Credit card,Yes,25.62,374.32,1,2,1
CUST-1101,62,Female,36,Month-to-month,Fiber optic,No,Electronic check,Yes,87.38,3152.63,2,4,1
CUST-1102,35,Male,23,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,99.78,2274.22,0,3,1
CUST-1103,64,Female,66,One year,Fiber optic,No,Electronic check,No,92.51,,1,4,1
CUST-1104,70,Male,2,Two year,Fiber optic,Yes,Electronic check,Yes,118.84,220.41,1,3,1
CUST-1105,41,Female,65,One year,Fiber optic,No,Mailed check,Yes,91.62,5940.83,2,4,0
CUST-1106,43,Male,67,Month-to-month,Fiber optic,No,Mailed check,Yes,105.07,7029.91,1,1,0
CUST-1107,42,Male,52,One year,DSL,Yes,Electronic check,Yes,67.3,3500.27,1,3,0
CUST-1108,62,Female,62,One year,Fiber optic,No,Electronic check,No,115.16,7145.54,3,5,0
CUST-1109,58,Female,23,One year,Fiber optic,Yes,Electronic check,Yes,125.98,2891.41,2,4,1
CUST-1110,46,Female,26,One year,No,No internet service,Electronic check,Yes,24.15,622.42,1,2,0
CUST-1111,32,Female,68,Two year,Fiber optic,No,Credit card,Yes,97.33,6610.89,3,2,1
CUST-1112,62,Female,55,One year,Fiber optic,No,Credit card,No,93.19,5141.16,2,3,0
CUST-1113,18,Male,6,Month-to-month,No,No internet service,Electronic check,Yes,20.4,79.61,0,4,1
CUST-1114,42,Female,35,Month-to-month,Fiber optic,No,Bank transfer,Yes,94.4,3299.37,0,4,0
CUST-1115,24,Male,22,Month-to-month,Fiber optic,No,Credit card,Yes,107.9,2396.97,1,4,1
CUST-1116,26,Female,43,Month-to-month,DSL,No,Electronic check,Yes,65.67,2831.57,1,3,0
CUST-1117,41,Female,15,Month-to-month,Fiber optic,Yes,Credit card,Yes,126.04,1909.6,1,4,1
CUST-1118,18,Female,60,Month-to-month,DSL,Yes,Credit card,No,70.93,4225.29,1,3,0
CUST-1119,61,Female,12,Month-to-month,No,No internet service,Electronic check,No,25.55,287.97,1,2,0
CUST-1120,25,Male,49,Month-to-month,Fiber optic,No,Electronic check,No,102.13,5012.08,1,3,0
CUST-1121,41,Female,42,Two year,DSL,No,Credit card,Yes,65.25,2763.76,3,5,0
CUST-1122,28,Male,38,Two year,DSL,No,Mailed check,Yes,60.36,2276.56,1,4,0
CUST-1123,68,Female,45,Month-to-month,Fiber optic,No,Electronic check,Yes,100.92,4535.58,2,3,0
CUST-1124,34,Female,35,Two year,DSL,No,Electronic check,No,64.42,2260.72,0,4,1
CUST-1125,25,Male,30,Month-to-month,Fiber optic,No,Mailed check,Yes,109.73,3270.11,0,5,1
CUST-1126,52,Female,30,Month-to-month,DSL,No,Bank transfer,No,73.81,2222.13,0,3,1
CUST-1127,52,Female,6,Month-to-month,Fiber optic,No,Bank transfer,Yes,96.53,539.04,3,3,1
CUST-1128,50,Female,67,Month-to-month,DSL,No,Credit card,Yes,55.84,3748.66,2,5,0
CUST-1129,22,Female,7,One year,Fiber optic,Yes,Electronic check,Yes,110.37,757.66,1,5,1
CUST-1130,59,Male,52,One year,No,No internet service,Mailed check,Yes,24.36,1260.01,0,3,0
CUST-1131,56,Male,14,Month-to-month,Fiber optic,Yes,Mailed check,No,98.9,1394.38,0,3,1
CUST-1132,75,Female,15,Month-to-month,Fiber optic,Yes,Mailed check,No,119.62,1801.01,2,3,0
CUST-1133,58,Male,21,Month-to-month,DSL,Yes,Electronic check,Yes,82.7,1736.58,2,2,1
CUST-1134,45,Female,35,Month-to-month,DSL,Yes,Credit card,Yes,81.92,2881.74,0,5,0
CUST-1135,24,Male,66,Month-to-month,DSL,No,Credit card,No,58.94,3864.54,2,3,1
CUST-1136,26,Male,2,Month-to-month,DSL,No,Mailed check,No,72.51,148.09,2,5,0
CUST-1137,25,Female,35,Two year,DSL,No,Bank transfer,Yes,69.09,2406.3,1,2,1
CUST-1138,29,Female,20,Two year,No,No internet service,Electronic check,Yes,23.63,486.37,1,3,0
CUST-1139,51,Male,10,Month-to-month,Fiber optic,No,Mailed check,Yes,103.92,1049.51,2,1,0
CUST-1140,50,Female,25,Two year,DSL,Yes,Bank transfer,Yes,79.99,2010.6,3,4,1
CUST-1141,65,Male,66,Month-to-month,No,No internet service,Mailed check,Yes,23.84,1598.12,3,3,0
CUST-1142,72,Male,25,Month-to-month,No,No internet service,Credit card,Yes,22.99,591.65,2,4,0
CUST-1143,40,Male,54,Month-to-month,No,No internet service,Bank transfer,Yes,23.95,1290.94,2,1,0
CUST-1144,41,Male,33,One year,Fiber optic,Yes,Mailed check,Yes,113.27,3737.89,2,2,0
CUST-1145,54,Male,36,Two year,Fiber optic,Yes,Bank transfer,Yes,99.62,3595.33,2,1,1
CUST-1146,52,Female,14,One year,DSL,No,Electronic check,No,73.02,1024.32,4,2,0
CUST-1147,61,Female,65,Month-to-month,DSL,Yes,Mailed check,No,76.48,4981.78,0,4,0
CUST-1148,57,Male,54,One year,DSL,Yes,Mailed check,Yes,75.67,4052.73,1,3,1
CUST-1149,39,Female,52,Month-to-month,DSL,No,Mailed check,No,56.99,2991.69,1,4,0
CUST-1150,44,Female,3,Two year,No,No internet service,Bank transfer,No,24.83,75.41,0,3,0
CUST-1151,52,Male,41,Month-to-month,Fiber optic,No,Mailed check,Yes,89.23,3634.09,1,2,1
CUST-1152,18,Female,6,Month-to-month,No,No internet service,Credit card,Yes,20.63,110.07,3,2,1
CUST-1153,52,Female,25,One year,Fiber optic,Yes,Bank transfer,No,111.46,2754.56,2,2,1
CUST-1154,54,Male,13,One year,Fiber optic,No,Mailed check,No,99.1,1271.95,0,4,0
CUST-1155,64,Male,8,Month-to-month,DSL,No,Credit card,No,66.78,532.11,3,4,1
CUST-1156,31,Female,21,One year,DSL,No,Electronic check,No,56.78,1215.1,3,2,1
CUST-1157,20,Female,68,Month-to-month,Fiber optic,No,Electronic check,No,100.08,6811.6,1,2,1
CUST-1158,18,Male,25,One year,Fiber optic,Yes,Mailed check,Yes,99.12,2481.49,4,5,0
CUST-1159,22,Female,68,Two year,No,No internet service,Electronic check,Yes,27.9,1880.17,1,4,0
CUST-1160,43,Female,45,Two year,Fiber optic,Yes,Electronic check,Yes,112.64,5056.43,3,4,0
CUST-1161,72,Female,60,One year,DSL,No,Bank transfer,Yes,68.75,4113.8,2,3,0
CUST-1162,31,Female,12,Month-to-month,DSL,No,Mailed check,No,61.51,727.53,3,2,1
CUST-1163,56,Female,32,Month-to-month,DSL,No,Mailed check,Yes,56.89,1815.21,1,5,0
CUST-1164,44,Male,13,One year,DSL,No,Credit card,No,74.52,964.62,1,4,0
CUST-1165,26,Male,31,Month-to-month,Fiber optic,No,Bank transfer,Yes,95.02,2940.53,0,3,0
CUST-1166,32,Female,20,Month-to-month,DSL,No,Credit card,Yes,63.48,1259.53,1,4,0
CUST-1167,32,Female,18,Month-to-month,Fiber optic,No,Electronic check,Yes,107.75,1941.53,4,4,1
CUST-1168,43,Male,60,Month-to-month,DSL,No,Mailed check,Yes,55.49,3324.68,1,2,1
CUST-1169,59,Female,63,One year,Fiber optic,Yes,Credit card,No,121.36,7621.75,2,3,1
CUST-1170,30,Female,6,Month-to-month,DSL,No,Bank transfer,No,65.73,394.9,2,2,1
CUST-1171,68,Male,32,One year,Fiber optic,Yes,Bank transfer,No,102.74,3285.93,1,1,1
CUST-1172,49,Female,43,Month-to-month,Fiber optic,Yes,Mailed check,Yes,95.16,4068.19,3,4,0
CUST-1173,56,Female,2,Month-to-month,Fiber optic,No,Electronic check,Yes,90.69,172.51,1,2,1
CUST-1174,66,Female,60,Month-to-month,Fiber optic,Yes,Mailed check,Yes,124.33,7468.76,0,4,0
CUST-1175,69,Female,23,Month-to-month,No,No internet service,Mailed check,Yes,25.49,569.22,5,5,0
CUST-1176,49,Male,31,Month-to-month,Fiber optic,Yes,Credit card,No,101.75,3135.62,1,1,1
CUST-1177,21,Female,5,One year,No,No internet service,Electronic check,No,20.52,97.73,1,3,0
CUST-1178,47,Male,34,Month-to-month,No,No internet service,Credit card,No,25.52,877.02,1,4,0
CUST-1179,54,Male,10,Two year,DSL,Yes,Credit card,Yes,74.45,771.65,1,4,0
CUST-1180,40,Female,2,Month-to-month,Fiber optic,No,Electronic check,No,99.16,208.2,1,4,1
CUST-1181,56,Male,11,Month-to-month,Fiber optic,No,Mailed check,Yes,97.73,1091.3,0,3,1
CUST-1182,62,Male,50,One year,No,No internet service,Credit card,No,21.73,1091.7,2,3,0
CUST-1183,32,Female,31,Month-to-month,Fiber optic,No,Credit card,Yes,108.44,3351.36,2,3,1
CUST-1184,60,Male,56,Month-to-month,Fiber optic,Yes,Mailed check,Yes,126.97,7120.1,1,5,0
CUST-1185,46,Male,9,Month-to-month,DSL,No,Electronic check,Yes,58.51,525.31,3,3,0
CUST-1186,53,Female,21,Month-to-month,No,No internet service,Mailed check,No,24.78,526.04,1,5,0
CUST-1187,30,Female,28,Two year,No,No internet service,Bank transfer,Yes,23.39,640.73,0,2,0
CUST-1188,49,Male,62,Month-to-month,Fiber optic,No,Electronic check,Yes,100.63,6246.06,3,5,0
CUST-1189,24,Female,7,One year,DSL,Yes,Bank transfer,No,68.08,474.75,3,4,0
CUST-1190,68,Male,16,Two year,Fiber optic,No,Electronic check,Yes,113.88,1825.55,0,3,0
CUST-1191,39,Female,4,Month-to-month,Fiber optic,Yes,Electronic check,Yes,109.98,438.64,1,4,0
CUST-1192,45,Female,4,Two year,No,No internet service,Mailed check,Yes,24.35,93.24,2,2,0
CUST-1193,19,Female,40,Month-to-month,Fiber optic,No,Mailed check,Yes,95.67,3834.07,1,2,1
CUST-1194,59,Female,17,Two year,Fiber optic,No,Electronic check,No,91.36,1547.03,0,1,1
CUST-1195,62,Female,52,Month-to-month,Fiber optic,No,Mailed check,No,88.01,4552.69,0,1,0
CUST-1196,74,Female,52,One year,No,No internet service,Electronic check,Yes,25.71,1308.81,2,3,1
CUST-1197,70,Male,36,Month-to-month,No,No internet service,Electronic check,No,21.57,779.29,3,4,1
CUST-1198,23,Male,38,Month-to-month,DSL,Yes,Electronic check,Yes,76.8,2911.69,0,4,0
CUST-1199,45,Female,50,One year,DSL,No,Credit card,Yes,62.81,3114.56,0,1,0
CUST-1200,45,Male,63,One year,Fiber optic,No,Mailed check,Yes,99.55,6273.25,1,5,0
CUST-1201,61,Female,63,Month-to-month,DSL,No,Mailed check,Yes,64.38,4054.53,3,4,1
CUST-1202,61,Male,62,Month-to-month,Fiber optic,No,Bank transfer,Yes,97.87,6060.45,0,5,0
CUST-1203,37,Female,7,One year,Fiber optic,No,Credit card,No,88.52,623.34,5,4,0
CUST-1204,47,Male,27,One year,DSL,Yes,Electronic check,No,69.19,1887.86,1,2,0
CUST-1205,28,Male,14,Two year,No,No internet service,Bank transfer,Yes,25.31,373.61,1,3,0
CUST-1206,75,Female,71,One year,Fiber optic,No,Bank transfer,Yes,108.3,7691.46,3,4,0
CUST-1207,72,Male,5,Two year,Fiber optic,No,Bank transfer,No,95.02,473.83,1,1,0
CUST-1208,45,Female,55,One year,Fiber optic,No,Electronic check,No,101.1,5562.87,0,1,0
CUST-1209,42,Male,2,Month-to-month,Fiber optic,Yes,Bank transfer,No,99.77,204.18,1,2,1
CUST-1210,56,Male,62,Month-to-month,No,No internet service,Electronic check,Yes,21.68,1340.14,1,2,1
CUST-1211,50,Female,21,One year,DSL,No,Bank transfer,No,55.46,1167.28,1,3,0
CUST-1212,18,Male,21,One year,DSL,Yes,Bank transfer,Yes,80.93,1675.93,2,3,0
CUST-1213,74,Female,10,Month-to-month,DSL,No,Electronic check,Yes,59.21,593.32,1,2,1
CUST-1214,44,Female,58,Month-to-month,Fiber optic,No,Credit card,Yes,92.96,5398.83,0,4,0
CUST-1215,74,Female,39,Two year,DSL,No,Electronic check,Yes,60.59,2355.66,2,3,0
CUST-1216,69,Female,5,Month-to-month,Fiber optic,Yes,Credit card,Yes,97.46,485.87,1,2,1
CUST-1217,30,Female,65,Month-to-month,DSL,No,Mailed check,Yes,67.79,4389.68,2,1,0
CUST-1218,58,Female,13,Month-to-month,No,No internet service,Electronic check,Yes,20.6,249.05,2,1,1
CUST-1219,20,Male,53,Month-to-month,DSL,Yes,Electronic check,No,65.68,,1,3,1
CUST-1220,56,Male,45,Month-to-month,Fiber optic,Yes,Credit card,Yes,115.57,5189.71,1,2,1
CUST-1221,23,Male,32,Month-to-month,No,No internet service,Electronic check,Yes,22.72,700.39,0,3,0
CUST-1222,25,Male,36,Month-to-month,Fiber optic,No,Electronic check,Yes,109.78,3935.4,2,4,0
CUST-1223,44,Female,60,One year,Fiber optic,No,Mailed check,No,104.51,6256.1,1,3,0
CUST-1224,26,Female,11,Month-to-month,Fiber optic,Yes,Bank transfer,Yes,101.96,1133.18,4,2,1
CUST-1225,54,Male,63,Two year,Fiber optic,No,Mailed check,Yes,107.78,6792.83,1,3,0
CUST-1226,50,Male,21,Two year,DSL,No,Electronic check,Yes,57.33,1190.86,3,4,0
CUST-1227,68,Male,52,Month-to-month,DSL,No,Electronic check,No,65.73,3409.14,1,5,0
CUST-1228,59,Female,55,One year,No,No internet service,Electronic check,No,23.5,1312.18,2,4,0
CUST-1229,61,Female,26,Month-to-month,DSL,Yes,Electronic check,Yes,68.36,1791.4,2,3,0
CUST-1230,41,Male,68,Two year,DSL,No,Mailed check,Yes,67.08,4544.67,4,3,0
CUST-1231,32,Female,34,Month-to-month,Fiber optic,Yes,Bank transfer,No,123.5,4216.45,1,3,1
CUST-1232,71,Female,52,One year,Fiber optic,Yes,Electronic check,Yes,127.96,6652.71,0,5,0
CUST-1233,49,Male,52,One year,DSL,Yes,Mailed check,No,75.16,3920.31,3,1,0
CUST-1234,49,Female,29,Month-to-month,Fiber optic,No,Mailed check,Yes,99.16,2873.19,6,5,0
CUST-1235,41,Female,38,Month-to-month,No,No internet service,Credit card,Yes,21.8,846.19,1,4,0
CUST-1236,58,Male,42,One year,Fiber optic,Yes,Credit card,Yes,102.0,4266.61,0,4,0
CUST-1237,69,Male,21,One year,Fiber optic,Yes,Credit card,Yes,109.78,2301.55,1,1,0
CUST-1238,66,Male,42,Month-to-month,DSL,Yes,Electronic check,No,70.35,2972.95,1,4,0
CUST-1239,66,Male,13,One year,Fiber optic,No,Electronic check,No,116.98,1484.85,0,3,0
CUST-1240,75,Female,2,Month-to-month,Fiber optic,No,Electronic check,Yes,230.5,14500.0,9,1,1
CUST-1241,69,Female,17,One year,DSL,Yes,Electronic check,No,70.47,1192.09,1,2,0
CUST-1242,29,Male,9,Month-to-month,Fiber optic,No,Mailed check,Yes,98.42,896.05,4,5,1
CUST-1243,56,Male,41,Two year,DSL,No,Bank transfer,Yes,71.73,2956.98,4,3,0
CUST-1244,19,Male,1,Month-to-month,Fiber optic,No,Credit card,Yes,107.78,118.73,2,3,1
CUST-1245,20,Male,2,Month-to-month,Fiber optic,Yes,Credit card,No,114.5,232.62,0,1,1
CUST-1246,66,Female,60,Month-to-month,Fiber optic,No,Mailed check,No,96.7,5802.61,1,4,1
CUST-1247,54,Male,48,Month-to-month,No,No internet service,Bank transfer,No,26.54,1268.78,1,4,0
CUST-1248,66,Male,29,Month-to-month,Fiber optic,No,Electronic check,No,86.34,2507.01,2,4,0
CUST-1249,73,Male,10,Month-to-month,DSL,No,Electronic check,No,72.42,746.09,0,3,1
CUST-1250,34,Female,58,Two year,Fiber optic,Yes,Bank transfer,No,110.95,6422.64,5,3,1
CUST-1251,66,Male,60,Month-to-month,DSL,No,Electronic check,No,62.97,3772.17,2,3,1
CUST-1252,19,Female,21,Month-to-month,Fiber optic,No,Mailed check,No,102.4,2149.27,2,2,1
CUST-1253,19,Male,28,Month-to-month,DSL,No,Electronic check,Yes,68.35,1928.81,1,5,0
CUST-1254,45,Female,34,Month-to-month,DSL,Yes,Bank transfer,Yes,63.26,2154.19,1,3,0
CUST-1255,71,Female,8,Month-to-month,No,No internet service,Bank transfer,Yes,26.97,230.51,0,3,0
CUST-1256,40,Male,59,Month-to-month,Fiber optic,Yes,Electronic check,Yes,108.64,6425.27,3,3,0
CUST-1257,54,Male,72,Month-to-month,Fiber optic,No,Credit card,Yes,97.0,6992.88,4,4,1
CUST-1258,49,Female,49,Month-to-month,Fiber optic,No,Electronic check,Yes,89.84,4386.2,2,2,1
CUST-1259,50,Female,17,Month-to-month,No,No internet service,Mailed check,No,23.52,424.76,1,2,1
CUST-1260,18,Male,60,One year,DSL,Yes,Bank transfer,Yes,72.93,4396.99,3,4,0
CUST-1261,36,Male,45,Month-to-month,DSL,No,Bank transfer,Yes,63.07,2839.1,1,3,0
CUST-1262,19,Female,69,Month-to-month,Fiber optic,Yes,Credit card,Yes,116.75,8035.02,2,4,0
CUST-1263,70,Female,32,Two year,Fiber optic,No,Electronic check,No,99.73,3167.95,1,2,1
CUST-1264,61,Male,44,Month-to-month,Fiber optic,No,Bank transfer,Yes,118.65,5224.41,0,4,1
CUST-1265,43,Female,65,One year,No,No internet service,Bank transfer,Yes,24.79,1600.82,0,1,0
CUST-1266,49,Male,8,Month-to-month,DSL,No,Credit card,No,71.15,543.44,3,1,0
CUST-1267,23,Female,72,One year,No,No internet service,Electronic check,No,20.87,1478.95,2,5,0
